"prod_id","name","price","mini-desc","desc","categories","img","img1","img2","img3"
"2433","Brennholz Buche 25 cm 1 RM","259,00€","Produkt-Highlights Holzart : Rotbuche Einsatzweck : Heizen, Grillen, Smoken Brennwert : 2100 kWh Wassergehalt : < 11 % – trocken Restfeuchte : < 12 % – trocken","Einsatzweck : Heizen, Grillen, Smoken Lagerart : Palette Nachhaltigkeit : Rollenholz aus nachhaltiger Forstwirtschaft, FSC Raummeter pro Palette : 1 Raummeter Holzart : Rotbuche Holzlänge : 25 cm Gewicht : 490 kg Volumen : 1 Raummeter, dicht gestapelt Brennwert : 2100 kWh Wassergehalt : < 11 % – trocken Restfeuchte : < 12 % – trocken Art der Trocknung : kammergetrocknet Verbrauchsfertigkeit : sofort gebrauchsfertig Lagerfähigkeit : dauerhaft lagerstabil, trocken lagern Gewicht inkl. Verpackung : 500 kg Größe inkl. Verpackung (LxBxH) : 105 cm × 105 cm × 110 cm","BRENNHOLZ","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Buche-20-25-cm-1-Raummeter-Palette-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Buche-20-25-cm-1-Raummeter-Palette-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Buche-20-25-cm-1-Raummeter-Palette-3-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Buche-20-25-cm-1-Raummeter-Palette-4-150x150.jpg"
"3663","Brennholz Buche 28 cm im Sack","169,00€","Produkt-Highlights Material : Buche Restfeuchte : 15 – 22% Heizwert : ca. 4,3 kWh/kg Abmessungen : 28 cm 36 Sack á 40L/15kg","Material : Buche Restfeuchte : 15 – 22% Heizwert : ca. 4,3 kWh/kg Abmessungen : 28 cm Scheitlänge Gewicht : 540 kg Trocknung : kammergetrocknet Gröss : 0.8 × 1.2 × 1.2 m Menge pro sack : 40 Liter Menge : 36 Sack Abpackung : Einwegpalette Paletten : 110 x 100 x ca. 120cm Palettengewicht : ca. 540kg netto","BRENNHOLZ","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Buche-im-Sack-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Buche-im-Sack-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Buche-im-Sack-3-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Buche-im-Sack-4-150x150.jpg"
"2442","Brennholz Buche 25 cm 2 RM","419,00€","Produkt-Highlights Wenig Asche Hoher Heizwert Brennwert 4200 kWh Gleichmäßiger Abbrand Einfaches Anzündverhalten","Einsatzweck : Heizen, Grillen, Smoken Lagerart : Palette Nachhaltigkeit : Rollenholz aus nachhaltiger Forstwirtschaft, FSC Raummeter pro Palette : 2 Raummeter Holzart : Rotbuche Holzlänge : 25 cm Gewicht : 990 kg Volumen : 2 Raummeter, dicht gestapelt Brennwert : 4200 kWh Wassergehalt : < 11 % – trocken Restfeuchte : < 12 % – trocken Art der Trocknung : kammergetrocknet Verbrauchsfertigkeit : sofort gebrauchsfertig Lagerfähigkeit : dauerhaft lagerstabil, trocken lagern Gewicht inkl. Verpackung : 1000 kg Größe inkl. Verpackung (LxBxH) : 105 cm × 105 cm × 210 cm","BRENNHOLZ","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Buche-25-cm-2-Raummeter-Palette-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Buche-25-cm-2-Raummeter-Palette-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Buche-25-cm-2-Raummeter-Palette-3-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Buche-25-cm-2-Raummeter-Palette-4-150x150.jpg"
"2465","Brennholz Eiche 25 cm 2 RM","379,00€","Produkt-Highlights Holzart : Eiche Brennwert : 4200 kWh Wassergehalt : < 11 % – trocken Restfeuchte : < 12 % – trocken","Einsatzweck : Heizen Lagerart : Palette Nachhaltigkeit : Rollenholz aus nachhaltiger Forstwirtschaft, FSC Raummeter pro Palette : 2 Raummeter Holzart : Eiche Holzlänge : 33 cm Gewicht : 980 kg Volumen : 2 Raummeter, dicht gestapelt Brennwert : 4200 kWh Wassergehalt : < 11 % – trocken Restfeuchte : < 12 % – trocken Art der Trocknung : kammergetrocknet Verbrauchsfertigkeit : sofort gebrauchsfertig Lagerfähigkeit : dauerhaft lagerstabil, trocken lagern Gewicht inkl. Verpackung : 990 kg Größe inkl. Verpackung (LxBxH) : 105 cm × 105 cm × 210 cm","BRENNHOLZ","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Eiche-25-cm-2-RM-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Eiche-25-cm-2-RM-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Eiche-25-cm-2-RM-3-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Eiche-25-cm-2-RM-4-150x150.jpg"
"2426","Brennholz Birke 20-25 cm 2 RM","359,00€","Produkt-Highlights Holzart : Birke Einsatzweck : Heizen, Grillen, Smoken Brennwert : 3800 kWh Wassergehalt : < 11 % – trocken Restfeuchte : < 12 % – trocken","Einsatzweck : Heizen, Grillen, Smoken Lagerart : Palette Nachhaltigkeit : Rollenholz aus nachhaltiger Forstwirtschaft, FSC Raummeter pro Palette : 2 Raummeter Holzart : Birke Holzlänge : 20-25 cm Gewicht : 850 kg Volumen : 2 Raummeter, dicht gestapelt Brennwert : 3800 kWh Wassergehalt : < 11 % – trocken Restfeuchte : < 12 % – trocken Art der Trocknung : Kammertrocknung Verbrauchsfertigkeit : sofort verbrauchsfertig Lagerfähigkeit : dauerhaft lagerstabil (trocken lagern) Gewicht inkl. Verpackung : 850 kg Größe inkl. Verpackung (LxBxH) : 105 cm × 105 cm × 210 cm","BRENNHOLZ","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Birke-20-25-cm-2-Raummeter-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Birke-20-25-cm-2-Raummeter-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Birke-20-25-cm-2-Raummeter-3-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Birke-20-25-cm-2-Raummeter-4-150x150.jpg"
"2472","Brennholz Eiche 33 cm 1 RM","249,00€","Produkt-Highlights Holzart : Eiche Brennwert : 2100 kWh Wassergehalt : < 11 % – trocken Restfeuchte : < 12 % – trocken","Einsatzweck : Heizen Lagerart : Palette Nachhaltigkeit : Rollenholz aus nachhaltiger Forstwirtschaft, FSC Raummeter pro Palette : 1 Raummeter Zertifikat : FSC Holzart : Eiche Holzlänge : 33 cm Gewicht : 440 kg Volumen : 1 Brennwert : 2100 kWh Wassergehalt : < 11 % – trocken Restfeuchte : < 12 % – trocken Art der Trocknung : kammergetrocknet Verbrauchsfertigkeit : sofort gebrauchsfertig Lagerfähigkeit : dauerhaft lagerstabil, trocken lagern Herkunft : Sachsen, Brandenburg, Polen Gewicht inkl. Verpackung : 450 kg Größe inkl. Verpackung (LxBxH) : 105 cm × 105 cm × 115 cm","BRENNHOLZ","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Eiche-33-cm-1-RM-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Eiche-33-cm-1-RM-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Eiche-33-cm-1-RM-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Eiche-33-cm-1-RM-2-150x150.jpg"
"2501","Brennholz Espe 25 cm 2 RM","369,00€","Produkt-Highlights Holzart : Espe Brennwert : 2400 kWh Wassergehalt : < 11 % – trocken Restfeuchte : < 12 % – trocken","Einsatzweck : Heizen Lagerart : Palette Nachhaltigkeit : Rollenholz aus nachhaltiger Forstwirtschaft, FSC Raummeter pro Palette : 2 Raummeter Holzart : Espe Holzlänge : 25 cm Gewicht : 850 kg Volumen : 2 Raummeter, dicht gestapelt Brennwert : 2400 kWh Wassergehalt : < 11 % – trocken Restfeuchte : < 12 % – trocken Art der Trocknung : kammergetrocknet Verbrauchsfertigkeit : sofort gebrauchsfertig Lagerfähigkeit : dauerhaft lagerstabil, trocken lagern Gewicht inkl. Verpackung : 900 kg Größe inkl. Verpackung (LxBxH) : 105 cm × 105 cm × 210 cm","BRENNHOLZ","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Espe-25-cm-2-RM-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Espe-25-cm-2-RM-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Espe-25-cm-2-RM-3-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Espe-25-cm-2-RM-4-150x150.jpg"
"2537","Brennholz Eiche 33 cm 1 RM","219,00€","Produkt-Highlights Reines Eichenholz Lange Brenndauer Geringer Funkenflug","Marke : Heizfuxx Holzart : Laubholz Baumart : Eiche Trocknung : luftgetrocknet Scheitellänge : 33 cm Heizwert : ≥ 15,0 MJ/kg Aschegehalt : ≤ 0,55 % Feuchtigkeitsgehalt : ≤ 20,0 % Gewicht : 500 kg pro Palette Breite x Höhe x Tiefe : 80 x 100 x 120 cm","BRENNHOLZ","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Eiche-33-cm-1-RM-01-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Eiche-33-cm-1-RM-02-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Eiche-33-cm-1-RM-03-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Eiche-33-cm-1-RM-04-150x150.jpg"
"2506","Brennholz Hainbuche 25 cm 1.9 RM","359,00€","Produkt-Highlights Holzart : Hainbuche Brennwert : 4180 kWh Wassergehalt : < 11 % – trocken Restfeuchte : < 12 % – trocken","Einsatzweck : Heizen, Grillen, Smoken Lagerart : Palette Nachhaltigkeit : Rollenholz aus nachhaltiger Forstwirtschaft, FSC Raummeter pro Palette : 1,9 Raummeter Holzart : Hainbuche Holzlänge : 25 cm Gewicht : 950 kg Volumen : 2 Raummeter, gestapelt Brennwert : 4180 kWh Wassergehalt : < 11 % – trocken Restfeuchte : < 12 % – trocken Art der Trocknung : technisch getrocknet Verbrauchsfertigkeit : sofort gebrauchsfertig Lagerfähigkeit : dauerhaft lagerstabil, trocken lagern Gewicht inkl. Verpackung : 1000 kg Größe inkl. Verpackung (LxBxH) : 110 cm × 90 cm × 195 cm","BRENNHOLZ","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Hainbuche-25-cm-1.9-RM-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Hainbuche-25-cm-1.9-RM-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Hainbuche-25-cm-1.9-RM-3-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Hainbuche-25-cm-1.9-RM-4-150x150.jpg"
"2457","Brennholz Buche 30-33 cm 2 RM","409,00€","Produkt-Highlights Holzart : Rotbuche Brennwert : 4200 kWh Wassergehalt : < 11 % – trocken Restfeuchte : < 12 % – trocken","Einsatzweck : Heizen, Grillen, Smoken Lagerart : Palette Nachhaltigkeit : Rollenholz aus nachhaltiger Forstwirtschaft, FSC Raummeter pro Palette : 2 Raummeter Holzart : Rotbuche Holzlänge : 30-33 cm Gewicht : 990 kg Volumen : 2 Raummeter, dicht gestapelt Brennwert : 4200 kWh Wassergehalt : < 11 % – trocken Restfeuchte : < 12 % – trocken Art der Trocknung : kammergetrocknet Verbrauchsfertigkeit : sofort gebrauchsfertig Lagerfähigkeit : dauerhaft lagerstabil, trocken lagern Gewicht inkl. Verpackung : 1000 kg Größe inkl. Verpackung (LxBxH) : 110 cm × 106 cm × 215 cm","BRENNHOLZ","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Buche-30-33-cm-2-RM-1-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Buche-30-33-cm-2-RM-2-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Buche-30-33-cm-2-RM-3-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/Brennholz-Buche-30-33-cm-2-RM-3-150x150.jpg"
